CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
10,Durango,4,Cuencam_,79600,Nuez,1,0,"16,800","33,600"
3,Baja California Sur,3,La Paz,83300,Pistache,1,0,"26,250","52,500"
15,M_xico,48,Jocotitlàn,90600,Semilla de trigo grano,1,0,"1,834","3,668"
8,Chihuahua,13,Casas Grandes,83300,Pistache,1,0,"27,000","27,000"
5,Coahuila,13,Hidalgo,79600,Nuez,1,0,"30,400","30,400"
12,Guerrero,62,Tlacoachistlahuaca,89700,Tomate rojo (jitomate),0,0,"3,206","160,280"
10,Durango,5,Durango,60200,Chabacano,0,0,"1,800","7,200"
2,Baja California,5,Playas de Rosarito,71500,Higo,1,1,"2,250","2,250"
8,Chihuahua,10,Buenaventura,83300,Pistache,3,1,"47,520","15,840"
7,Chiapas,35,Frontera Hidalgo,76100,MaraÐÑn,1,1,"2,197","2,197"
5,Coahuila,17,Matamoros,58700,Càrtamo,6,1,"3,600",600
9,Distrito Federal,11,Tlàhuac,58400,CapulÕn,1,1,"3,900","7,800"
13,Hidalgo,61,Tepeapulco,60600,ChÕa,1,1,"54,320","54,320"
17,Morelos,20,Tepoztlàn,57100,Caf_ cereza,1,1,"3,165","6,330"
17,Morelos,25,Tlaquiltenango,57700,Calabaza semilla o chihua,1,1,"19,031","27,187"
13,Hidalgo,7,Almoloya,68400,Frijol,8,1,"6,800",850
12,Guerrero,4,Alcozauca de Guerrero,62200,Ciruela,1,1,"2,978","5,956"
14,Jalisco,52,Juchitlàn,69000,Garbanzo grano,1,1,"3,159","3,159"
12,Guerrero,23,Cuajinicuilapa,57000,Cacao,1,1,"6,336","6,336"
14,Jalisco,52,Juchitlàn,56900,Cacahuate,1,1,"17,575","17,575"
12,Guerrero,4,Alcozauca de Guerrero,82300,Pera,1,1,"4,554","9,108"
1,Aguascalientes,3,Calvillo,79600,Nuez,1,1,"25,000","25,000"
3,Baja California Sur,3,La Paz,74400,Macadamia,1,1,"15,000","30,000"
9,Distrito Federal,11,Tlàhuac,50000,Aceituna,1,1,"6,150","12,300"
10,Durango,11,Ind_,76900,Membrillo,1,1,"4,500","4,500"
10,Durango,28,San Juan del RÕo,79600,Nuez,5,1,"80,000","16,000"
11,Guanajuato,26,Romita,63900,Comino,1,1,"29,000","29,000"
13,Hidalgo,14,Calnali,54300,ArvejÑn,3,1,"13,200","5,280"
15,M_xico,99,Texcoco,68500,Semilla de frijol,1,1,"24,500","35,000"
16,Michoacàn,38,Huetamo,77550,Moringa,1,1,"6,000","6,000"
12,Guerrero,12,Ayutla de Los Libres,89700,Tomate rojo (jitomate),0,1,"8,448","168,953"
12,Guerrero,52,San Luis Acatlàn,89700,Tomate rojo (jitomate),0,1,"8,271","165,418"
12,Guerrero,9,Atlamajalcingo del Monte,62200,Ciruela,1,1,"7,126","7,055"
